DrugBank ID,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed,Molecular_weight,LogP
DB00014,1.2427255171122618,3235.805623839465,66.52742905396097,51.39094886022878,51.39094886022878,43.17187286174673,29.860582947821914,29.860582947821914,23.654631813907855,23.654631813907855,14.843671917965484,14.843671917965484,10.23308466128677,10.23308466128677,132.38711427884283,62.952963814471445,0.0,94.4110595956999,34.14457753324952,0.0,41.689541651074535,65.08099784391263,5.425791397110385,67.90444052463833,21.937865385286603,1268.641439368,0.7252747252747253,1.3296703296703296,1.945054945054945,0.5084745762711864,-9.85,91,1184.7609999999995,2.3398110580860145e+20,70.2400826582689,33.10827339220546,21.71254933877312,523.803473321732,14.781343118828438,0.5079666451556014,14.781343118828438,0.3303713611319067,0.0045312639638128704,0.3303713611319067,-1.8012377801907038,-0.5079666451556014,-3.1057000000000246,328.5382000000003,1269.4330000000004,20,32,0,2,2,2,2,4,16,17,32,0,31,0,2,2,494,89.55309577976357,60.12607929561554,5.959554568743835,53.16461756416355,5.907179729351506,6.031114512338072,58.36356797046427,15.204307102129416,0.0,0.0,44.179309741689295,94.54005157156816,67.76333937368486,25.142134814774067,6,67.6898267682715,81.96539130667803,0.0,73.23773691996354,28.11131321028362,158.80452050102855,26.303276740850986,84.07277474392603,0.0,5.749511833283905,70.58689405775799,4.794537184071822,5.749511833283905,0.0,187.4082614721368,71.9446996632963,5.917906046161393,96.38526833717765,72.24434849831924,0.0,10.902924932081056,0.0,495.8899999999999,6.025069762780985,0.0,166.8527481033845,42.75895487199252,21.5580999081673,-8.582681332860707,-0.7157040234702494,4.907969641276474,7.278876402062504,0.0,0,1,1,0,0,3,2,1,0,0,11,11,0,0,1,3,12,3,0,0,1,2,0,0,0,0,0,12,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.010267024043949404,1269.4330000000004,-3.1057000000000246
DB00035,1.683896619470518,2378.004381434423,54.32068675170396,40.37982593331042,42.012819095165874,35.195396451994974,23.561672346113763,26.049706217826337,17.340772850397496,19.967972557358813,11.49291818732455,13.908040053174956,7.782799822419688,9.928074630232219,133.07908410159294,57.84643641963074,0.0,74.82921616490255,17.54772460632,21.587795952773448,17.032643867773697,42.46456947923127,0.0,42.209924960679984,28.668337385810926,1068.426955488,0.7297297297297297,1.337837837837838,1.972972972972973,0.4782608695652174,-7.620000000000001,74,1004.7259999999992,4001322116121411.0,58.94656324546837,29.78737444215039,20.11789498213632,433.30567082412796,14.560589374507925,0.5079666451556014,14.560589374507925,0.24622360867827903,0.012824435015131863,0.24622360867827903,-1.7712937106034967,-0.5079666451556014,-4.341700000000017,272.16369999999966,1069.2379999999994,18,26,0,2,2,2,0,2,15,13,28,0,19,0,2,2,402,75.89229473954643,48.042397637319624,5.959554568743835,64.97897702286656,0.0,0.0,57.73231375742571,0.0,0.0,0.0,64.05236543200472,55.36374523494726,50.27850651702277,12.965578028838586,4,57.84643641963074,92.52632754438386,0.0,42.117429958894796,33.66074211844659,106.50110203329584,31.139976431231304,65.72420659954848,0.0,5.749511833283905,65.88585761385525,0.0,5.749511833283905,21.587795952773448,154.37783095256864,65.58155227064206,0.0,62.49347596680208,59.58970834879016,0.0,0.0,0.0,437.9099999999999,0.0,0.0,152.87782486172455,27.783506040388026,28.127240625463777,-9.753403743271411,4.516746606490728,-1.3376146672287117,-0.40163014345806913,2.1873304198911394,0,0,0,0,0,0,0,1,0,0,11,11,0,0,1,2,7,5,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02737585989686799,1069.2379999999994,-4.341700000000017
DB00050,1.2552441035888602,3771.0118546093345,74.5794708178388,57.24952280632078,58.00545175233923,48.56280885034859,33.45653658753458,33.83450106054381,25.35001291025811,25.786448690730097,16.6798667907981,16.931843106137585,11.397118081827262,11.523106239497004,138.03538179119718,67.74750099854327,0.0,101.46945789518698,33.697260903455316,10.772448428929591,55.406539547304305,50.245676810150904,42.46456947923127,63.1442692936462,34.535609798881254,1429.669818304,0.5686274509803921,1.0686274509803921,1.6274509803921569,0.42857142857142855,-10.950000000000014,102,1338.327999999999,1.1155756608957682e+25,80.02996851696133,39.739090942228025,25.968749560965115,594.5340177278899,14.867554750738087,0.5079666451556014,14.867554750738087,0.3116730521825315,0.0002088916147082731,0.3116730521825315,-1.8522687783002392,-0.5079666451556014,-0.7158000000000266,378.4852000000008,1431.0639999999996,20,31,0,1,1,4,1,5,16,16,32,0,38,0,1,1,548,91.21552046924396,66.1679201247635,5.959554568743835,64.97897702286656,0.0,6.031114512338072,62.71629227837291,4.794537184071822,0.0,0.0,98.24481911115312,121.14548434435973,69.65761336609987,6.606881964512918,6,67.74750099854327,99.34303442311057,0.0,63.05177429186101,33.844980687445805,158.74239494242823,26.241151182250643,142.79836658760286,0.0,5.749511833283905,76.10255594871207,4.794537184071822,5.749511833283905,11.600939890232516,183.72614861915778,78.42319551649409,5.917906046161393,94.89450612603255,120.51433203970925,5.022633313741326,10.772448428929591,0.0,498.1699999999998,0.0,6.225526869230601,176.16441113105583,49.534043412303134,23.873135600847647,-9.824891391476656,13.452861567636699,2.701912803904995,5.150777784275508,0.0,0,1,1,0,0,1,0,1,0,0,12,12,0,0,1,3,10,4,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0.013177276271397347,1431.0639999999996,-0.7158000000000266
DB00091,4.320268725023782,2325.0756756660257,65.97699784625162,56.06519281120048,56.06519281120048,39.209088524097595,30.561842569458147,30.561842569458147,26.09260200928232,26.09260200928232,16.07656562220368,16.07656562220368,10.681299011251536,10.681299011251536,155.79982624649122,48.2573620514871,9.589074368143644,55.77573229927562,6.4208216229260096,9.799819461700956,87.68072693237394,54.54218050466824,61.46591770435886,21.267154416025324,0.0,1201.841367992,0.4588235294117647,0.8705882352941177,1.3176470588235294,0.7903225806451613,-6.130000000000001,85,1090.746999999999,1.2730846161842589e+17,76.88267909217701,34.871505276546664,21.65558178074552,508.394547098842,15.129540232260648,0.3901264861786781,15.129540232260648,0.24564364922042153,0.022871036214433316,0.24564364922042153,-1.6099396139050237,-0.3901264861786781,3.2690000000000063,328.4446000000004,1202.6349999999982,5,23,0,1,1,0,0,0,12,5,23,0,15,0,1,1,486,60.67304992681938,60.418408291479594,0.0,64.97897702286656,0.0,0.0,52.73990902479004,0.0,0.0,0.0,109.08436100933646,100.72148365975768,49.33370387874032,12.648722793660877,1,57.84643641963074,64.97897702286656,0.0,55.56652253197868,41.42534232312975,222.75083681152466,55.878460284652895,12.152040213667762,0.0,0.0,21.267154416025324,0.0,0.0,0.0,226.7857074975415,52.73990902479004,41.42534232312975,156.22846213229667,12.152040213667762,0.0,0.0,0.0,278.8,0.0,0.0,168.5176416373319,23.06363415215392,0.0,-9.707807854954714,-12.327153438745823,3.0429183382838767,29.32854506388072,9.91555543538346,0,1,1,0,0,0,0,0,0,0,11,11,0,0,0,7,4,0,0,7,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14792471467331686,1202.6349999999982,3.2690000000000063
DB00104,1.5644146079692678,2395.2533183157652,51.45044326370088,39.67540048066,41.30839364251544,34.073028754158884,23.504378159613484,25.992412031326054,17.474045248392372,20.02632999822315,11.850687838554387,14.272683279791353,7.727591764154154,10.055470327798583,108.49979947865376,48.881342473024866,0.0,43.7337501111102,23.96854622924601,38.0541723765515,13.847474399381248,60.794147187767564,30.33183534230805,42.201498748991526,11.46733495432437,1018.4404803120002,0.7183098591549296,1.3098591549295775,1.9577464788732395,0.4489795918367347,-6.009999999999999,71,952.7329999999995,1891691845453003.5,55.91115545104115,28.138409879659868,17.079111594369117,419.7022614216031,14.715409283720678,0.3941370662897746,14.715409283720678,0.24544439295345072,0.03399218529192383,0.24544439295345072,-1.6627667591269233,-0.3941370662897746,-0.8053999999999939,272.0537999999995,1019.2610000000002,15,20,0,1,1,3,1,4,14,13,22,0,17,0,1,1,384,68.98841588783802,36.25104497488776,0.0,41.35025810546054,0.0,0.0,33.561760288502754,0.0,0.0,0.0,100.45056784277442,68.83223884055045,41.44711896303973,30.898496398305447,5,48.881342473024866,73.84097899031505,0.0,42.201498748991526,11.46733495432437,112.9150635456176,24.65734558391907,107.81633700516664,0.0,0.0,48.68485518236869,0.0,0.0,21.587795952773448,146.85382380352922,52.82422515728077,0.0,49.800293743250265,91.12598253007565,0.0,10.902924932081056,0.0,332.22,0.0,0.0,102.77118572619949,50.50567439024677,15.000389837683342,-6.009000755650303,14.603043506565394,-0.15611800788923524,2.2259852959874484,2.0588400068571198,0,3,3,0,0,1,1,0,0,0,7,7,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.045517553484694884,1019.2610000000002,-0.8053999999999939
DB00114,3.012375896787937,454.0869118636696,12.344934982691242,8.32262016845718,9.217047359457094,7.348353872014526,4.175841911690459,5.70613865503068,3.0129945196327177,4.252347310822028,1.8638911973072552,2.329340005195632,1.0525557326944057,1.3598157358885874,14.429579087645088,14.466112863843858,0.0,22.570342811526356,6.286160523129555,0.0,13.1205807713037,0.0,0.0,9.507725682659025,9.78682320550495,247.02457367000002,1.5625,2.1875,2.6875,0.25,-1.2700000000000002,16,237.06299999999993,2487.0872471746643,12.797888662593348,4.712028319358466,3.1104910169878903,90.95325670424707,10.687482048374907,0.5052825312770469,10.687482048374907,0.46940522663537176,0.08245370370370342,0.46940522663537176,-4.613809799382716,-0.5052825312770469,0.5174199999999998,52.85940000000002,247.14299999999994,3,7,0,0,0,0,1,1,5,3,8,0,4,0,0,0,88,14.893350600345656,5.749511833283905,6.286160523129555,0.0,0.0,7.822697123132171,14.302262866730848,4.565048284931329,0.0,0.0,0.0,6.923737199690624,11.760295063310071,17.864261451058375,1,28.776683231060627,14.108857646261725,0.0,4.9839785209472085,0.0,13.530619164203543,0.0,23.017674549855528,0.0,5.749511833283905,0.0,0.0,5.749511833283905,7.822697123132171,26.163489644422423,15.695677411156066,6.923737199690624,21.615368162314272,6.196843571613076,0.0,0.0,0.0,116.95000000000002,14.666454868984632,0.0,31.401772486772494,9.464458144368859,0.2818561035525331,-0.3177667548500873,0.0,1.5940765936004029,0.995180579176115,-4.613809799382716,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5238999149743511,247.14299999999994,0.5174199999999998
DB00115,4.528191218472312e-06,3598.3890657047914,68.70528438653896,54.44384231311685,56.379304712655994,42.82967690141502,30.718028327526614,32.178621814207055,26.991553931865983,28.307618144221685,20.480409006871813,21.600128743324092,15.324098297602632,16.447702407305,143.3359560585977,53.23327496586796,0.0,93.95259202679227,56.405783442850655,11.126902983393991,17.81815692224652,6.923737199690624,80.5223890409727,10.30076712495354,80.31439338640551,1354.5674001259993,0.8064516129032258,1.3870967741935485,1.956989247311828,0.6190476190476191,-7.003506493506494,93,1266.6839999999993,3.0252454559757594e+24,75.02974103260195,28.52386176684933,14.637797524644816,551.0318925714932,14.35132866677164,3.0,14.35132866677164,3.0,0.0,0.7561047882678745,-5.319198553607836,-0.7561047882678745,3.409210000000012,336.5692000000005,1355.3879999999992,15,28,0,6,6,1,1,2,20,9,30,0,26,0,2,2,508,90.32753383273008,18.31189916324491,6.22790117073487,41.35025810546054,7.822697123132171,16.77879776869357,53.104022771341086,4.9839785209472085,5.697039313055833,0.0,47.08134845052709,118.03464133916637,114.14226573047952,30.071569862258286,8,83.79643001178522,77.34141167213734,5.261891554738487,14.867866772744893,94.7108051231128,189.0146798520424,13.151638370425493,75.78922979478487,0.0,0.0,44.61220506973192,0.0,0.0,7.822697123132171,127.39771607514268,68.68996361935133,71.01308890590931,150.2974768035306,67.75061551573468,0.0,16.350190039238854,0.0,488.71000000000004,31.87714814150974,0.0,127.7801751265286,36.37464034220719,36.66634589583468,-7.404038604960437,2.6548587734881153,-4.788677309446132,23.714301744001627,-5.319198553607836,0,2,2,0,0,2,0,0,0,0,7,7,0,0,3,7,1,6,0,0,0,0,0,0,0,0,6,7,0,0,2,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048125213524286996,1355.3879999999992,3.409210000000012
DB00121,1.7030406543934982,297.78872926636205,11.54360559544051,8.939543180393162,9.756039761320888,7.66470379794645,5.570299390581464,6.619054180562121,4.261381258072251,5.533546785048159,3.0674294445664945,4.576068504965448,2.264757116766507,3.808346038947313,5.969305287951849,9.589074368143644,0.0,24.53561779356,5.249938029982174,25.01531847552482,0.0,0.0,11.761884949391115,10.633577208012662,5.106527394840706,244.088163372,1.4375,2.25,3.0,0.8,-0.9099999999999999,16,228.18799999999996,5794.178597307568,11.571752540962677,4.9476486864612665,2.6071993441328214,98.35218009520547,11.112311058299966,0.4812303897702795,11.112311058299966,0.31493629272404566,0.06404076908541168,0.31493629272404566,-0.728900594188292,-0.4812303897702795,0.7968,61.593200000000024,244.316,3,5,0,2,2,0,0,0,3,3,6,0,5,0,2,2,90,15.740104602853368,0.0,0.0,0.0,0.0,12.000419800289922,4.794537184071822,4.794537184071822,11.761884949391115,0.0,6.4208216229260096,12.841643245852019,17.42361325965497,12.083681658295921,2,14.69560176298435,23.762304749681036,0.0,10.633577208012662,0.0,43.01690617998213,5.752853606746789,0.0,0.0,0.0,10.633577208012662,4.794537184071822,0.0,11.761884949391115,40.19342049015551,4.794537184071822,0.0,25.683286491704038,0.0,0.0,0.0,0.0,78.43,0.0,1.8706235827664397,21.46106045466345,14.778325358303714,0.0,0.23638104161417717,0.43994239208028896,2.8803338372385987,0.0,0.0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.49347811519219625,244.316,0.7968
DB00126,2.7960670662634675,232.19280948873626,9.300964908321223,5.967158282493358,5.967158282493358,5.574586062669973,3.195847560515346,3.195847560515346,2.3096782084769703,2.3096782084769703,1.4760022804717896,1.4760022804717896,0.8227770345096005,0.8227770345096005,36.30244977127372,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,20.426109579362823,176.032087976,1.5,2.0833333333333335,2.4166666666666665,0.5,-1.27,12,168.05999999999997,518.6003776349318,8.823196644920783,2.9969802601028404,1.2138768453613862,67.32052975243379,10.532445200302343,0.5050473004212116,10.532445200302343,0.3774972341840157,0.6713425925925929,0.3774972341840157,-1.417962962962963,-0.5050473004212116,-1.4073999999999995,35.25619999999999,176.124,4,6,0,1,1,0,0,0,6,4,6,0,2,0,0,0,68,25.162972533162872,6.103966387748303,11.86313125940448,5.759164871656176,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.606881964512918,1,29.957509717234693,5.969305287951849,0.0,0.0,0.0,12.207932775496605,6.606881964512918,11.518329743312352,0.0,0.0,0.0,0.0,0.0,0.0,45.21022960732419,9.53140013787187,0.0,0.0,11.518329743312352,0.0,0.0,0.0,107.22000000000001,4.315509259259259,0.0,10.532445200302343,35.04547146636432,0.0,-2.7786574074074064,0.0,-2.77675925925926,-0.6713425925925929,0.0,0,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3850054008235984,176.124,-1.4073999999999995
DB00130,3.490729660390813,145.8284895747849,8.146264369941973,5.409974546369657,5.409974546369657,4.536581260209188,2.804340371793938,2.804340371793938,1.9497187176048891,1.9497187176048891,1.0189388484196829,1.0189388484196829,0.4212363029499181,0.4212363029499181,17.918325846451317,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,0.0,16.573862349165076,146.06914218,1.5,2.0,2.3,0.6,-1.1,10,136.06599999999997,111.0417522239666,8.9,3.8375573921028465,3.8485659349463233,57.996078831724944,10.100084089191233,0.4800862864649938,10.100084089191233,0.3199828445702351,0.021296296296296147,0.3199828445702351,-1.109953703703703,-0.4800862864649938,-1.336199999999999,34.03959999999999,146.146,5,5,0,0,0,0,0,0,3,3,5,0,4,0,0,0,58,16.573862349165076,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,0.0,6.4208216229260096,6.4208216229260096,0.0,0,14.69560176298435,11.876485017303356,0.0,0.0,11.46733495432437,18.88348407499998,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,23.02485324129202,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,106.41,0.0,0.0,20.134780801209374,8.217769274376417,9.810922146636432,-1.640787037037036,-0.9791666666666667,0.12314814814814778,0.0,0.0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4560917735982506,146.146,-1.336199999999999
